name;description;language;kql
APM – Błędy (24h);Wszystkie błędy z APM w ostatnich 24 godzinach (backend .NET/Node).;kuery;"processor.event : ""error"" and @timestamp >= now-24h"
APM – Transakcje HTTP (24h);Transakcje HTTP (request) w APM (ostatnie 24h) — do analizy latency p95/p99.;kuery;"processor.event : ""transaction"" and transaction.type : ""request"" and @timestamp >= now-24h"
RUM – Błędy JS (24h);Błędy JavaScript raportowane przez RUM Angular (ostatnie 24h).;kuery;"service.framework.name : ""angular"" and processor.event : ""error"" and @timestamp >= now-24h"
RUM – Page-load i Route-change (24h);Transakcje page-load i route-change dla Angular (ostatnie 24h).;kuery;"service.framework.name : ""angular"" and transaction.type : (""page-load"",""route-change"") and @timestamp >= now-24h"
Uptime – Monitory DOWN (24h);Monitory Heartbeat o statusie DOWN w ostatnich 24h.;kuery;"monitor.status : ""down"" and @timestamp >= now-24h"
IIS – Metryki (24h);Zestaw metryk IIS (webserver) do szybkiego przeglądu.;kuery;"event.dataset : ""iis.*"" and @timestamp >= now-24h"
NGINX – Metryki (24h);Zestaw metryk Nginx (stubstatus/Prometheus).;kuery;"event.dataset : ""nginx.*"" and @timestamp >= now-24h"
DB – MSSQL (24h);Zdarzenia i metryki dla Microsoft SQL Server.;kuery;"event.dataset : ""mssql.*"" and @timestamp >= now-24h"
DB – PostgreSQL (24h);Zdarzenia i metryki dla PostgreSQL.;kuery;"event.dataset : ""postgresql.*"" and @timestamp >= now-24h"
DB – Redis (24h);Zdarzenia i metryki dla Redis.;kuery;"event.dataset : ""redis.*"" and @timestamp >= now-24h"
DB – MongoDB (24h);Zdarzenia i metryki dla MongoDB.;kuery;"event.dataset : ""mongodb.*"" and @timestamp >= now-24h"
Infra – K8s/Docker restarty (24h);Pod/Container restarts w ostatnich 24h (Kubernetes/Docker).;kuery;"(event.dataset : ""kubernetes.*"" and kubernetes.container.restart_count > 0) or event.dataset : ""docker.*"" and @timestamp >= now-24h"
Infra – CPU > 85% (24h);Hosty z wysokim CPU (system.cpu.total.pct >= 0.85).;kuery;"event.dataset : ""system.cpu"" and system.cpu.total.pct >= 0.85 and @timestamp >= now-24h"
Infra – RAM > 90% (24h);Hosty z wysokim zużyciem pamięci (system.memory.actual.used.pct >= 0.90).;kuery;"event.dataset : ""system.memory"" and system.memory.actual.used.pct >= 0.90 and @timestamp >= now-24h"
